,ID,District Code,District,Place of Issue,Province
0,1,ACHHA,ACHHAM,ACHHA,SUDURPASCHIM
1,2,ARGHA,ARGHAKHANCHI,ARGHA,PROVINCE 5
2,3,BAGLU,BAGLUNG,BAGLU,GANDAKI
3,4,BAITA,BAITADI,BAITA,SUDURPASCHIM
4,5,BAJHA,BAJHANG,BAJHA,SUDURPASCHIM
5,6,BAJUR,BAJURA,BAJUR,SUDURPASCHIM
6,7,BANKE,BANKE,BANKE,PROVINCE 5
7,8,BARA,BARA,BARA,PROVINCE 2
8,9,BARDI,BARDIYA,BARDI,PROVINCE 5
9,10,BHAKT,BHAKTAPUR,BHAKT,BAGMATI
10,11,BHOJP,BHOJPUR,BHOJP,PROVINCE 1
11,12,CHITW,CHITWAN,CHITW,BAGMATI
12,13,DADEL,DADELDHURA,DADEL,SUDURPASCHIM
13,14,DAILE,DAILEKH,DAILE,KARNALI
14,15,DANG,DANG,DANG,PROVINCE 5
15,16,DARCH,DARCHULA,DARCH,SUDURPASCHIM
16,17,DHADI,DHADING,DHADI,BAGMATI
17,18,DHANK,DHANKUTA,DHANK,PROVINCE 1
18,19,DHANU,DHANUSHA,DHANU,PROVINCE 2
19,20,DOLKH,DOLAKHA,DOLAK,BAGMATI
20,21,DOLPA,DOLPA,DOLPA,KARNALI
21,22,DOTI,DOTI,DOTI,SUDURPASCHIM
22,23,GORKH,GORKHA,GORKH,GANDAKI
23,24,GULMI,GULMI,GULMI,PROVINCE 5
24,25,HUMLA,HUMLA,HUMLA,KARNALI
25,26,ILAM,ILAM,ILAM,PROVINCE 1
26,27,JAJAR,JAJARKOT,JAJAR,KARNALI
27,28,JHAPA,JHAPA,JHAPA,PROVINCE 1
28,29,JUMLA,JUMLA,JUMLA,KARNALI
29,30,KAILA,KAILALI,KAILA,SUDURPASCHIM
30,31,KALIK,KALIKOT,KALIK,KARNALI
31,32,KANCH,KANCHANPUR,KANCH,SUDURPASCHIM
32,33,KAPIL,KAPILVASTU,KAPIL,PROVINCE 5
33,34,KASKI,KASKI,KASKI,GANDAKI
34,35,KATHM,KATHMANDU,KATHM,BAGMATI
35,36,KAVRE,KAVREPALANCHOK,KAVRE,BAGMATI
36,37,KHOTA,KHOTANG,KHOTA,PROVINCE 1
37,38,LALIT,LALITPUR,LALIT,BAGMATI
38,39,LAMJU,LAMJUNG,LAMJU,GANDAKI
39,40,MAHOT,MAHOTTARI,MAHOT,PROVINCE 2
40,41,MAKWA,MAKWANPUR,MAKWA,BAGMATI
41,42,MANAG,MANAG,MANAN,GANDAKI
42,43,MORAN,MORANG,MORAN,PROVINCE 1
43,44,MUGU,MUGU,MUGU,KARNALI
44,45,MUSTA,MUSTANG,MUSTA,GANDAKI
45,46,MYAGD,MYAGDI,MYAGD,GANDAKI
46,77,,,,
47,47,NAWAL,NAWALPARASI,NAWAL,GANDAKI
48,78,NAWEA,NAWALPARASI EAST,NAWEA,GANDAKI
49,82,NAWWE,NAWALPARASI WEST,NAWWE,GANDAKI
50,48,NUWAK,NUWAKOT,NUWAK,BAGMATI
51,49,OKHAL,OKHALDHUNGA,OKHAL,PROVINCE 1
52,76,OTHER,NOT AVAILABLE,,
53,50,PALPA,PALPA,PALPA,PROVINCE 5
54,51,PANCH,PANCHTHAR,PANCH,PROVINCE 1
55,52,PARSA,PARSA,PARSA,PROVINCE 2
56,53,PARWA,PARBAT,PARBA,GANDAKI
57,54,PYUTH,PYUTHAN,PYUTH,PROVINCE 5
58,55,RAMEC,RAMECHHAP,RAMEC,BAGMATI
59,56,RASUW,RASUWA,RASUW,BAGMATI
60,57,RAUTH,RAUTHAHAT,RAUTA,PROVINCE 2
61,58,ROLPA,ROLPA,ROLPA,PROVINCE 5
62,79,RUKEA,RUKUM EAST,RUKEA,PROVINCE 5
63,59,RUKUM,RUKUM,RUKUM,PROVINCE 5
64,81,RUKWE,RUKUM WEST,RUKWE,PROVINCE 5
65,60,RUPAN,RUPANDEHI,RUPAN,PROVINCE 5
66,61,SALYA,SALYAN,SALYA,KARNALI
67,62,SANKH,SANKHUWASABHA,SANKH,PROVINCE 1
68,63,SAPTA,SAPTARI,SAPTA,PROVINCE 2
69,64,SARLA,SARLAHI,SARLA,PROVINCE 2
70,65,SIND,SINDHUPALCHOK,SINDU,BAGMATI
71,66,SINDH,SINDHULI,SINDH,BAGMATI
72,67,SIRAH,SIRAHA,SIRAH,PROVINCE 2
73,68,SOLUK,SOLUKHUMBU,SOLUK,PROVINCE 1
74,69,SUNSA,SUNSARI,SUNSA,PROVINCE 1
75,70,SURKH,SURKHET,SURKH,KARNALI
76,71,SYANG,SYANGJA,SYANG,GANDAKI
77,72,TANAH,TANAHUN,TANAH,GANDAKI
78,73,TAPLE,TAPLEJUNG,TAPLE,PROVINCE 1
79,74,TERHA,TERHATHUM,TERAT,PROVINCE 1
80,75,UDAYP,UDAYPUR,UDAYA,PROVINCE 1
